Humidity,Temperature,PPM
65.00,24.10,28.58
65.00,24.10,29.80
65.00,24.10,28.58
65.00,24.10,31.05
65.00,24.10,29.80
65.00,24.10,27.98
65.00,24.10,28.58
65.00,24.10,29.80
65.00,24.10,27.39
65.00,24.10,27.98
65.00,24.10,26.81
65.00,24.10,30.42
65.00,24.10,26.23
65.00,24.10,26.23
65.00,24.10,26.81
65.00,24.10,26.23
65.00,24.10,27.98
65.00,24.10,21.92
65.00,24.10,25.67
65.00,24.10,24.02
65.00,24.10,23.48
65.00,24.10,24.02
65.00,24.10,27.98
65.00,24.10,25.67
65.00,24.10,27.39
65.00,24.10,25.11
65.00,24.10,12.44
64.00,24.80,11.06
64.00,24.80,11.40
64.00,25.30,11.06
56.00,30.20,17.20
55.00,31.30,17.64
55.00,31.30,17.64
54.00,31.80,14.70
54.00,31.80,13.54
51.00,33.30,17.64
51.00,33.30,21.92
51.00,33.90,18.09
51.00,33.90,17.20
50.00,34.70,12.80
50.00,34.70,8.31
47.00,35.60,8.88
47.00,35.60,8.03
46.00,36.90,8.88
46.00,36.90,10.73
44.00,38.00,11.74
44.00,38.00,12.80
43.00,39.00,22.43
43.00,39.00,19.95
42.00,39.00,24.02
42.00,39.00,30.42
41.00,39.00,35.71
41.00,39.00,37.83
40.00,39.50,43.12
40.00,39.50,45.52
39.00,39.50,36.41
39.00,39.50,36.41
39.00,39.50,37.12
39.00,39.50,35.71
39.00,39.50,35.02
38.00,39.50,278.61
35.00,38.80,293.98
35.00,38.80,290.86
35.00,38.60,275.62
35.00,38.60,263.88
35.00,38.50,258.16
35.00,38.50,252.54
35.00,38.50,236.24
35.00,38.50,238.90
35.00,38.50,244.29
35.00,38.50,249.77
36.00,38.50,249.77
36.00,38.50,255.34
36.00,38.50,249.77
36.00,38.50,236.24
36.00,38.00,249.77
36.00,38.00,252.54
36.00,38.00,255.34
36.00,38.00,258.16
36.00,38.00,255.34
36.00,38.00,249.77
36.00,38.00,247.02
36.00,38.00,247.02
36.00,38.00,247.02
36.00,38.00,247.02
36.00,38.00,241.58
36.00,38.00,236.24
37.00,37.70,236.24
37.00,37.70,231.00
38.00,37.40,241.58
38.00,37.40,228.41
38.00,37.40,244.29
38.00,37.40,238.90
38.00,37.40,228.41
